Date,Open,High,Low,Close,Volume
"05/23/2024,""120.33"",""120.51"",""119.56"",""119.84"",""12,868"""
"05/22/2024,""119.79"",""119.99"",""119.75"",""119.90"",""11,836"""
"05/21/2024,""119.72"",""119.86"",""119.50"",""119.80"",""10,664"""
"05/20/2024,""119.75"",""120.12"",""119.72"",""120.12"",""12,359"""
"05/17/2024,""119.55"",""119.78"",""119.45"",""119.56"",""7,090"""
"05/16/2024,""119.74"",""119.87"",""119.64"",""119.78"",""65,225"""
"05/15/2024,""118.87"",""119.38"",""118.70"",""119.34"",""15,857"""
"05/14/2024,""118.61"",""118.76"",""118.27"",""118.58"",""8,506"""
"05/13/2024,""118.89"",""118.89"",""118.58"",""118.60"",""16,889"""
"05/10/2024,""118.70"",""118.99"",""118.64"",""118.69"",""17,762"""
"05/09/2024,""118.10"",""118.26"",""117.91"",""118.26"",""9,497"""
"05/08/2024,""118.16"",""118.27"",""117.64"",""118.05"",""7,256"""
"05/07/2024,""117.93"",""118.12"",""117.78"",""118.07"",""8,183"""
"05/06/2024,""117.12"",""117.51"",""116.98"",""117.39"",""24,212"""
"05/03/2024,""116.34"",""116.94"",""116.14"",""116.54"",""9,608"""
"05/02/2024,""115.72"",""116.10"",""115.50"",""115.76"",""17,750"""
"04/30/2024,""116.87"",""117.17"",""116.24"",""116.24"",""87,551"""
"04/29/2024,""116.76"",""116.92"",""116.57"",""116.57"",""13,048"""
"04/26/2024,""115.90"",""116.75"",""115.61"",""116.50"",""10,459"""
"04/25/2024,""115.23"",""115.37"",""114.14"",""114.50"",""6,232"""
"04/24/2024,""116.40"",""116.41"",""115.64"",""115.72"",""6,182"""
"04/23/2024,""115.22"",""115.85"",""114.95"",""115.70"",""7,733"""
"04/22/2024,""114.56"",""114.97"",""114.28"",""114.48"",""22,740"""
"04/19/2024,""114.07"",""114.65"",""113.92"",""114.28"",""24,448"""
"04/18/2024,""115.12"",""115.39"",""114.63"",""115.26"",""17,429"""
"04/17/2024,""115.32"",""115.89"",""114.92"",""114.92"",""12,045"""
"04/16/2024,""115.77"",""115.94"",""115.19"",""115.55"",""14,439"""
"04/15/2024,""117.67"",""118.17"",""117.24"",""117.33"",""11,984"""
"04/12/2024,""118.45"",""118.49"",""117.52"",""117.63"",""24,220"""
"04/11/2024,""117.38"",""117.52"",""116.81"",""117.24"",""8,393"""
"04/10/2024,""117.42"",""117.51"",""116.34"",""117.07"",""10,883"""
"04/09/2024,""117.15"",""117.21"",""116.30"",""116.60"",""14,644"""
"04/08/2024,""116.92"",""117.37"",""116.80"",""117.17"",""88,873"""
"04/05/2024,""116.23"",""117.01"",""116.15"",""116.82"",""22,961"""
"04/04/2024,""117.48"",""117.81"",""117.39"",""117.65"",""11,954"""
"04/03/2024,""117.49"",""117.63"",""117.19"",""117.54"",""10,165"""
"04/02/2024,""118.82"",""118.94"",""117.23"",""117.46"",""28,355"""
"03/28/2024,""118.17"",""118.45"",""118.05"",""118.27"",""7,498"""
"03/27/2024,""117.47"",""117.82"",""117.34"",""117.44"",""8,947"""
"03/26/2024,""117.40"",""117.64"",""117.30"",""117.55"",""9,513"""
"03/25/2024,""117.53"",""117.63"",""117.04"",""117.30"",""10,091"""
"03/22/2024,""117.71"",""117.98"",""117.54"",""117.64"",""8,142"""
"03/21/2024,""117.15"",""117.78"",""116.90"",""117.73"",""17,135"""
"03/20/2024,""115.95"",""116.33"",""115.95"",""116.08"",""5,809"""
"03/19/2024,""115.59"",""115.82"",""115.14"",""115.82"",""11,588"""
"03/18/2024,""115.26"",""115.73"",""115.11"",""115.67"",""7,713"""
"03/15/2024,""115.49"",""115.77"",""114.77"",""114.79"",""18,543"""
"03/14/2024,""115.68"",""115.83"",""115.27"",""115.44"",""10,525"""
"03/13/2024,""115.60"",""115.61"",""115.35"",""115.38"",""7,589"""
"03/12/2024,""115.06"",""115.69"",""114.70"",""115.45"",""8,852"""
"03/11/2024,""114.40"",""114.53"",""114.07"",""114.43"",""21,338"""
"03/08/2024,""115.35"",""115.65"",""115.01"",""115.09"",""13,823"""
"03/07/2024,""114.25"",""115.30"",""114.10"",""115.07"",""17,647"""
"03/06/2024,""114.30"",""114.72"",""114.30"",""114.66"",""16,877"""
"03/05/2024,""114.79"",""114.79"",""114.00"",""114.08"",""18,484"""
"03/04/2024,""115.10"",""115.24"",""114.83"",""114.91"",""15,004"""
"03/01/2024,""114.91"",""115.15"",""114.57"",""115.08"",""21,880"""
"02/29/2024,""113.93"",""114.50"",""113.55"",""114.21"",""12,386"""
"02/28/2024,""114.16"",""114.17"",""113.74"",""113.91"",""10,691"""
"02/27/2024,""114.00"",""114.19"",""113.78"",""113.96"",""11,815"""
"02/26/2024,""114.30"",""114.34"",""114.06"",""114.12"",""21,044"""
"02/23/2024,""114.37"",""114.86"",""114.24"",""114.55"",""8,749"""
